Y値,変換後
1379,1
1381,2
1382,3
1384,4
1386,5
1388,6
1389,7
1391,8
1392,9
1394,10
1396,11
1398,12
1399,13
1401,14
1403,15
1404,16
1406,17
1408,18
1409,19
1411,20
1413,21
1415,22
1416,23
1418,24
1419,25
1421,26
1423,27
1425,28
1426,29
1428,30
1430,31
1431,32
1433,33
1435,34
1437,35
1438,36
1440,37
1442,38
1443,39
1445,40
1447,41
1448,42
1450,43
1452,44
1453,45
1455,46
1457,47
1458,48
1460,49
1462,50
1464,51
1465,52
1467,53
1469,54
1470,55
1472,56
1474,57
1475,58
1477,59
1479,60
1480,61
1482,62
1484,63
1485,64
1487,65
1489,66
1491,67
1492,68
1494,69
1496,70
1497,71
1499,72
1501,73
1502,74
1504,75
1506,76
1508,77
1509,78
1511,79
1512,80
1514,81
1516,82
1518,83
1519,84
1521,85
1523,86
1524,87
1526,88
1528,89
1529,90
